GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,52,34|63,0.003,45,26|63,0.003,32,16|63,0.002
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,97,49|63,0.005,99,51|63,0.006,76,47|63,0.005
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,42,26|63,0.003,21,5|63,0.001,62,40|63,0.004
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,45,30|63,0.003,40,24|63,0.003,38,19|63,0.003
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,89,45|63,0.007,112,54|63,0.008,100,55|63,0.007
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,16,6|63,0.001,16,2|63,0.001,30,14|63,0.002
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,146,57|63,0.008,87,48|63,0.005,107,57|63,0.005
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,43,28|63,0.002,48,28|63,0.002,N.R.,N.R.,N.R.
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,87,44|63,0.005,73,42|63,0.003,29,12|63,0.001
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,40,24|63,0.002,52,30|63,0.002,33,17|63,0.001
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp,152,59|63,0.007,124,55|63,0.005,115,60|63,0.005
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,42,26|63,0.003,35,21|63,0.003,60,38|63,0.004
C. K-8 / 401 - 750,Monmouth,270,Belmar Boro,16,6|63,0.001,34,19|63,0.002,48,30|63,0.002
C. K-8 / 401 - 750,Monmouth,560,Brielle Boro,33,19|63,0.002,44,25|63,0.003,39,20|63,0.002
C. K-8 / 401 - 750,Monmouth,3830,Oceanport Boro,151,58|63,0.009,178,60|63,0.009,76,47|63,0.004
C. K-8 / 401 - 750,Monmouth,4770,Shrewsbury Boro,94,46|63,0.005,100,52|63,0.006,83,50|63,0.005
