GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,1584,14|81,0.1,0.744,1832,19|81,0.108,0.7672,1996,20|81,0.11,0.8154
B. K-8 / 0 - 400,Warren,5780,White Twp,999,2|81,0.051,0.4078,1214,3|81,0.055,0.4064,1373,5|81,0.057,0.3984
C. K-8 / 401 - 750,Statewide,N.A.,1. State average - Operating Type K-8,2289,N.A.,0.138,0.845,2402,N.A.,0.138,0.844,2626,N.A.,0.138,0.816
C. K-8 / 401 - 750,Statewide,N.A.,2. State median - Operating Type K-8,2274,N.A.,0.136,0.813,2361,N.A.,0.136,0.817,2565,N.A.,0.131,0.768
C. K-8 / 401 - 750,Statewide,N.A.,5. State average - All operating types,2298,N.A.,0.141,0.863,2365,N.A.,0.141,0.867,2524,N.A.,0.139,0.832
C. K-8 / 401 - 750,Statewide,N.A.,6. State median - All operating types,2156,N.A.,0.133,0.833,2234,N.A.,0.133,0.841,2376,N.A.,0.13,0.786
C. K-8 / 401 - 750,Atlantic,570,Brigantine City,3676,62|67,0.141,0.8933,4192,62|63,0.141,0.8963,4336,62|63,0.136,0.8369
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,2481,42|67,0.155,0.8996,2459,39|63,0.157,0.9262,3051,45|63,0.156,0.8675
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,1764,9|67,0.122,0.7935,1573,4|63,0.103,0.7066,2204,20|63,0.129,0.7661
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,2177,31|67,0.104,0.7325,2239,31|63,0.102,0.7595,2317,24|63,0.099,0.6981
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,2246,33|67,0.127,0.8849,2652,44|63,0.137,0.9067,2685,39|63,0.136,0.8537
C. K-8 / 401 - 750,Bergen,1070,Demarest Boro,2670,48|67,0.142,0.8081,2799,50|63,0.144,0.8002,3371,51|63,0.147,0.7339
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro,3959,63|67,0.181,0.8488,4690,63|63,0.205,0.8404,4460,63|63,0.176,0.7252
