GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
K. CHARTER,ESSEX,6320,DISCOVERY CHARTER SCHOOL,15213,64|88,17414,82|92,12666,64|91,80,80,99,
K. CHARTER,ESSEX,6410,EAST ORANGE COMMUNITY CHA,14161,51|88,12946,32|92,10627,31|91,486,486,483,
K. CHARTER,ESSEX,6665,THE GRAY CHARTER SCHOOL,13067,38|88,12381,28|92,11350,46|91,321,325,343,
K. CHARTER,ESSEX,7100,LADY LIBERTY ACADEMY CHAR,17845,83|88,17203,80|92,13565,73|91,450,439,480,
K. CHARTER,ESSEX,7210,MARION P. THOMAS CHARTER,14886,60|88,17295,81|92,,N.R.,14965,1241,,
K. CHARTER,ESSEX,7290,NEW HORIZONS COMMUNITY CH,13423,43|88,13304,38|92,10283,26|91,473,432,486,
K. CHARTER,ESSEX,7320,NORTH STAR ACADEMY CHARTE,15360,66|88,14483,57|92,13296,71|91,3436,3991,4435,
K. CHARTER,ESSEX,7325,TEAM ACADEMY CHARTER SCHO,16795,79|88,16788,79|92,14634,83|91,2718,3218,3717,
K. CHARTER,ESSEX,7730,ROBERT TREAT ACADEMY CHAR,14353,53|88,14384,55|92,10573,30|91,625,648,684,
K. CHARTER,ESSEX,7735,MARIA VARISCO ROGERS CHAR,16489,76|88,18245,85|92,14399,82|91,517,485,540,
K. CHARTER,ESSEX,8065,UNIVERSITY HEIGHTS CHARTE,16798,80|88,16461,76|92,12350,59|91,618,574,675,
K. CHARTER,HUDSON,6030,THE ETHICAL COMMUNITY CHA,10222,11|88,10040,8|92,8374,8|91,310,340,385,
K. CHARTER,HUDSON,6036,HOBOKEN DUAL LANGUAGE CHA,10329,12|88,11542,18|92,9211,14|91,291,327,375,
K. CHARTER,HUDSON,6064,DR LENA EDWARDS ACADEMIC,13321,42|88,12160,25|92,10840,33|91,372,383,387,
K. CHARTER,HUDSON,6068,M.E.T.S. CHARTER SCHOOL,11564,21|88,13306,40|92,11130,40|91,519,479,512,
K. CHARTER,HUDSON,6082,BELOVED COMMUNITY CHARTER,10075,9|88,11120,13|92,9092,13|91,595,712,836,
K. CHARTER,HUDSON,6093,JERSEY CITY GLOBAL CS,9577,5|88,8813,2|92,7452,4|91,234,311,380,
K. CHARTER,HUDSON,6103,EMPOWERMENT ACADEMY CHART,,N.R.,10008,7|92,9552,17|91,,187,335,
K. CHARTER,HUDSON,6105,HUDSON ARTS AND SCIENCE C,,N.R.,,N.R.,7968,5|91,,,357,
