GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,126.3,44|66,95481,14|66,123.9,44|66,98345,16|66
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,113,54|66,88381,6|66,122.2,45|66,90203,7|66
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,144.7,27|66,113566,42|66,114.3,51|66,100419,20|66
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,143,29|66,95717,16|66,134.4,32|66,94600,12|66
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,124,47|66,102176,21|66,142.3,25|66,116459,44|66
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,171,12|66,90750,10|66,166.7,13|66,92550,10|66
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,134.3,34|66,105876,26|66,108.6,54|66,102038,21|66
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,207.1,6|66,91035,11|66,139,27|66,95518,14|66
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,212.7,4|66,84000,3|66,313.5,2|66,83616,4|66
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,114.9,52|66,114730,44|66,156.8,16|66,102480,23|66
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,162,16|66,97017,17|66,109.2,53|66,82152,3|66
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,128.6,42|66,97700,18|66,97.6,60|66,91121,8|66
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,132.9,38|66,118680,50|66,125.4,42|66,123475,51|66
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,89.6,64|66,106907,28|66,88.1,61|66,109526,30|66
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,138.5,32|66,119355,54|66,156,17|66,116190,43|66
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,109.8,58|66,106310,27|66,124.4,43|66,125000,55|66
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,149.5,24|66,128384,63|66,190,10|66,135000,63|66
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,172.7,11|66,126000,61|66,162.2,15|66,121500,50|66
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,82,66|66,112755,41|66,77.1,63|66,115010,41|66
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,147.3,25|66,110823,37|66,125.6,41|66,104550,25|66
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,119.1,49|66,112070,40|66,245.5,6|66,107000,26|66
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,111.2,56|66,117703,48|66,134,34|66,125850,56|66
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,183.7,8|66,107687,30|66,180.3,11|66,110594,33|66
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,169.4,13|66,108601,33|66,144.3,23|66,109688,31|66
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,100.2,62|66,89573,7|66,121.3,46|66,113272,38|66
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,124.8,46|66,84151,4|66,,N.R.,,N.R.
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,193,7|66,123750,59|66,138.3,29|66,120500,46|66
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,129.1,40|66,119255,53|66,126.9,38|66,121081,47|66
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,94.2,63|66,123334,58|66,260,4|66,129315,59|66
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,141.6,30|66,127920,62|66,138.8,28|66,131118,60|66
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,104.3,61|66,122000,56|66,115,49|66,126075,57|66
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,145.8,26|66,102493,22|66,,N.R.,,N.R.
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,116.8,51|66,135000,65|66,115.4,48|66,124335,52|66
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,160.5,17|66,118950,51|66,644.5,1|66,72000,1|66
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,114.9,52|66,123750,59|66,115,49|66,121200,48|66
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,127.7,43|66,98816,19|66,128,37|66,97000,15|66
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,216.9,3|66,109116,35|66,234.7,9|66,100000,18|66
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,85,65|66,105174,24|66,85.7,62|66,116025,42|66
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,112,55|66,111958,39|66,107,56|66,114197,39|66
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,118,50|66,167127,66|66,,N.R.,,N.R.
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,153.7,23|66,122246,57|66,143,24|66,124691,54|66
C. K-8 / 401 - 750,SUSSEX,2030,HARDYSTON TWP,248,2|66,117877,49|66,240.3,7|66,121414,49|66
C. K-8 / 401 - 750,UNION,3470,MOUNTAINSIDE BORO,180,9|66,111840,38|66,177.8,12|66,111840,36|66
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,212,5|66,81500,2|66,252.5,5|66,74250,2|66
C. K-8 / 401 - 750,WARREN,1785,GREAT MEADOWS REGIONAL,143.6,28|66,95004,13|66,236.3,8|66,99756,17|66
C. K-8 / 401 - 750,WARREN,1840,GREENWICH TWP,269.6,N.A.,90076,N.A.,264.3,3|66,92238,9|66
D. K-8 / 751 +,,,K-8 Average,146.1,,113504,,149.4,,115003,
D. K-8 / 751 +,,,STATEWIDE,151.5,,119362,,153.2,,121407,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,214.5,4|79,109088,20|79,204,9|77,109437,16|77
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,181.8,21|79,111895,27|79,182.4,21|77,114940,28|77
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,218.4,3|79,107930,17|79,216.8,6|77,110334,18|77
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,166.4,33|79,128647,58|79,209,8|77,102480,10|77
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,174.6,26|79,95000,3|79,183.4,20|77,95000,2|77
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,140.7,53|79,99960,6|79,136.9,60|77,99960,5|77
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,180.8,22|79,136302,69|79,151.5,45|77,137196,71|77
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,139.3,54|79,140014,73|79,159.6,37|77,128751,60|77
