Group,Coname,Dist,Distname, EX121 , EX221 
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,"45,364","278,569"
B. K-8 / 0 - 400,Morris,460,Boonton Twp,"92,861", -   
B. K-8 / 0 - 400,Morris,2010,Harding Township,"282,042","262,015"
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,"409,891","592,157"
B. K-8 / 0 - 400,Morris,3520,Netcong Boro, -   , -   
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,"392,848","398,818"
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro, -   , -   
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro, -   , -   
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro, -   , -   
B. K-8 / 0 - 400,Salem,60,Alloway Twp,"487,937","438,332"
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,"191,140","236,869"
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,"477,932","467,068"
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,"326,301","324,534"
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,"441,911","74,902"
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,"549,518","590,756"
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,"78,466","76,061"
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,"407,151","593,617"
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp, -   , -   
B. K-8 / 0 - 400,Sussex,3300,Montague Twp, -   ,"133,517"
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,"54,820","20,497"
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,"209,377","58,261"
B. K-8 / 0 - 400,Union,1710,Garwood Boro,"175,000","210,000"
B. K-8 / 0 - 400,Union,5810,Winfield Twp,"158,005","21,624"
B. K-8 / 0 - 400,Warren,70,Alpha Boro,"389,142","468,276"
B. K-8 / 0 - 400,Warren,2040,Harmony Twp, -   , -   
B. K-8 / 0 - 400,Warren,2250,Hope Twp,"205,467","193,084"
B. K-8 / 0 - 400,Warren,3890,Oxford Twp, -   , -   
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,"734,818","393,050"
B. K-8 / 0 - 400,Warren,5780,White Twp,"368,461","377,045"
C. K-8 / 401 - 750,Atlantic,570,Brigantine City,"1,544,858","1,950,066"
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,"571,798","603,382"
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,"845,000","907,000"
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,"1,103,591","1,046,031"
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,"457,470","1,737,227"
