CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
Camden,800,Cherry Hill Twp,235022906,10970,21424,28,237420551,11013,21558,33,"N. K-12|K-12,3500+",NK-12K-123500plus
Camden,880,Clementon Boro,14234828,634,22456,28,13670967,647,21124,16,"J. K-12|K-8,401-750",JK-12K-8401-750
Camden,940,Collingswood Boro,44648918,2132,20940,24,46566741,2249,20704,23,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Camden,1255,Eastern Camden County Reg,44778516,1985,22563,8,41868219,1961,21354,6,"G. G9-12|7-12,9-12",GG9-127-129-12
Camden,1720,Gibbsboro Boro,5657451,275,20573,9,5792522,265,21879,19,"C. K-8|K-8,0-400",CK-8K-80-400
Camden,1770,Gloucester City,60738019,2499,24302,54,63813747,2300,27745,73,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Camden,1780,Gloucester Twp,131423852,6396,20547,27,135835265,6544,20757,28,"E. K-8|K-8,751+",EK-8K-8751plus
Camden,1799,Kipp Cooper Norcross,30636683,1351,22678,85,34230240,1479,23142,85,O. Charter,OCharter
Camden,1801,Camden Prep,14757885,821,17968,46,17970028,N.R.,N.R.,,O. Charter,OCharter
Camden,1802,Mastery Schools Of Camden,46269911,2268,20398,73,49561758,2629,18850,60,O. Charter,OCharter
Camden,1880,Haddon Heights Boro,27959201,1474,18975,4,28523890,1515,18825,4,"L. K-12|K-12,0-1800",LK-12K-120-1800
Camden,1890,Haddon Twp,44432648,2101,21147,26,43752855,2111,20731,24,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Camden,1900,Haddonfield,49409889,2750,17967,4,49967171,2724,18343,3,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Camden,2130,Hi Nella,2715255,148,18346,3,3177532,152,20905,5,K-12|Non-Operating,
Camden,2540,Laurel Springs Boro,5792385,325,17837,6,6119257,307,19940,10,H. K-12|K-6,HK-12K-6
Camden,2560,Lawnside Boro,10456463,456,22913,24,9799901,447,21932,20,"I. K-12|K-8,0-400",IK-12K-80-400
Camden,2670,Lindenwold Boro,56408930,2890,19520,10,59139625,3048,19401,8,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Camden,2890,Magnolia Boro,9472903,409,23159,26,9182198,404,22745,24,"C. K-8|K-8,0-400",CK-8K-80-400
Camden,3110,Merchantville Boro,9736006,541,17988,2,10593169,562,18842,3,"J. K-12|K-8,401-750",JK-12K-8401-750
Camden,3420,Mount Ephraim Boro,12335658,573,21512,19,12337548,590,20911,11,"J. K-12|K-8,401-750",JK-12K-8401-750
Camden,3770,Oaklyn Boro,9243123,464,19930,18,10428770,517,20169,13,H. K-12|K-6,HK-12K-6
Camden,4060,Pennsauken Twp,112925330,4794,23555,62,110406498,4815,22930,52,"N. K-12|K-12,3500+",NK-12K-123500plus
Camden,4110,Pine Hill Boro,44237529,1889,23414,52,42340026,1925,21992,39,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Camden,4590,Runnemede Boro,17030031,835,20406,25,17693196,873,20263,20,"E. K-8|K-8,751+",EK-8K-8751plus
Camden,4790,Somerdale Boro,9838431,487,20194,11,10111416,483,20940,13,"D. K-8|K-8,401-750",DK-8K-8401-750
Camden,5035,Sterling High School Dist,21145817,972,21761,7,20018570,935,21414,7,"G. G9-12|7-12,9-12",GG9-127-129-12
Camden,5080,Stratford Boro,17310753,910,19034,10,16980378,873,19452,13,"E. K-8|K-8,751+",EK-8K-8751plus
Camden,5400,Voorhees Twp,59450415,3011,19745,14,59804591,2978,20084,18,"E. K-8|K-8,751+",EK-8K-8751plus
Camden,5560,Waterford Twp,31507989,1529,20611,22,32302569,1584,20396,16,H. K-12|K-6,HK-12K-6
Camden,5820,Winslow Twp,128546910,4836,26581,82,116506995,4833,24106,68,"N. K-12|K-12,3500+",NK-12K-123500plus
