cds,fiscal_year,student_count
252400,2016-2017,74261
252430,2016-2017,47124
252720,2016-2017,36817
252770,2016-2017,281512
252920,2016-2017,226809
252930,2016-2017,44374
253030,2016-2017,225621
253040,2016-2017,180031.5
253160,2016-2017,437618.5
253200,2016-2017,80811.5
253250,2016-2017,12331
253260,2016-2017,80261.5
253270,2016-2017,47778.5
253500,2016-2017,27698
253510,2016-2017,195723
253810,2016-2017,176038.5
253830,2016-2017,23430
254360,2016-2017,80267
254365,2016-2017,45402.5
254520,2016-2017,5263.5
254570,2016-2017,41822
254580,2016-2017,43395
254680,2016-2017,2222
254690,2016-2017,8107
254760,2016-2017,27351.5
254770,2016-2017,22198
254840,2016-2017,8855
254980,2016-2017,11242
254990,2016-2017,20339
255185,2016-2017,70675
255230,2016-2017,41327
255310,2016-2017,78435.5
255420,2016-2017,165231
255640,2016-2017,25734.5
270450,2016-2017,52189.5
270460,2016-2017,32241
270630,2016-2017,44918.5
270785,2016-2017,184508.5
270820,2016-2017,51161
271090,2016-2017,72748.5
271110,2016-2017,148170
271190,2016-2017,42823
271530,2016-2017,42592
271990,2016-2017,70620
272000,2016-2017,66044
272010,2016-2017,18150
272380,2016-2017,143627
272460,2016-2017,88187
272650,2016-2017,56672
272870,2016-2017,110528
273090,2016-2017,25443
273100,2016-2017,30778
273240,2016-2017,26108.5
273340,2016-2017,169537.5
273365,2016-2017,33918.5
273370,2016-2017,132093.5
273380,2016-2017,38313
273385,2016-2017,248996
273410,2016-2017,22660
273450,2016-2017,211827
273460,2016-2017,50721
273520,2016-2017,13684
273950,2016-2017,325259
274000,2016-2017,37174.5
274080,2016-2017,96805.5
274330,2016-2017,218377.5
274440,2016-2017,21197
274480,2016-2017,26620
274490,2016-2017,108933
274560,2016-2017,163053
275380,2016-2017,14833.5
275520,2016-2017,99484
275660,2016-2017,116781.5
275770,2016-2017,41228
290185,2016-2017,150722
290210,2016-2017,4141.5
290230,2016-2017,2480.5
290320,2016-2017,99220
290530,2016-2017,424710
290770,2016-2017,96481
291150,2016-2017,6908
292350,2016-2017,5478
292360,2016-2017,404926.5
292480,2016-2017,198462
292500,2016-2017,24222
292520,2016-2017,349189.5
292550,2016-2017,6336
292690,2016-2017,68585
292760,2016-2017,10934
292940,2016-2017,135894
292980,2016-2017,286
293790,2016-2017,50242.5
293800,2016-2017,6611
293820,2016-2017,44154
294105,2016-2017,76230
294190,2016-2017,63959.5
294210,2016-2017,125818
294220,2016-2017,32329
294710,2016-2017,11330
294720,2016-2017,2112
294950,2016-2017,116314
295020,2016-2017,98714
295190,2016-2017,746388.5
295220,2016-2017,15323
310420,2016-2017,40474.5
310900,2016-2017,562936
311920,2016-2017,53801
312100,2016-2017,111408
312510,2016-2017,44962.5
312700,2016-2017,41618.5
313640,2016-2017,32538
313970,2016-2017,799496.5
313980,2016-2017,48048
313990,2016-2017,63926.5
313995,2016-2017,140107
314010,2016-2017,1526096
314230,2016-2017,72693.5
314270,2016-2017,46986.5
314400,2016-2017,54274
315200,2016-2017,47982
315440,2016-2017,43472
315570,2016-2017,363935
315650,2016-2017,161172
315690,2016-2017,54010
330060,2016-2017,23116.5
331340,2016-2017,10290.5
331350,2016-2017,7579
332800,2016-2017,8118
332950,2016-2017,8206
333860,2016-2017,15807
334070,2016-2017,109136.5
334075,2016-2017,82984
334150,2016-2017,72743
334280,2016-2017,19162
334630,2016-2017,51007
334640,2016-2017,27615.5
335320,2016-2017,21747
335910,2016-2017,57189
350240,2016-2017,36008.5
350350,2016-2017,250393
350490,2016-2017,92196.5
350510,2016-2017,100254
350555,2016-2017,390170
351610,2016-2017,387376
351810,2016-2017,60054.5
352170,2016-2017,327530.5
353000,2016-2017,71082
353210,2016-2017,3443
353320,2016-2017,209247.5
353670,2016-2017,173668
354510,2016-2017,4928
354810,2016-2017,17787
354815,2016-2017,81862
354820,2016-2017,79799.5
354850,2016-2017,27632
355470,2016-2017,79739
