CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,5430,16170198,8988448,8738803,246745,2900,2683011,2477067,1856228,1616203,1912558,396091,0,729952,18000,14.3,60800,74.7,58800,119.7,129776,10,1263,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,Bergen
3,5755,51104838,27077070,25951085,779010,346975,11543758,9041465,5741073,4801558,5277090,2740887,0,1412216,201450,11.1,70180,59.5,71280,145.9,127195,15.7,2794,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen
3,5830,17118888,9432557,9127049,243132,62376,2877709,2112239,2504855,2137801,1730293,1075826,0,550881,0,12.4,63065,67.7,58065,135.3,115737,12.9,1272,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen
3,5880,14861494,8683350,8189482,349892,143976,2844514,2488783,1690704,1523961,1517000,569175,0,121337,0,9.4,62649,60.9,77831,104.4,132500,12.8,753,Woodcliff Lake Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,Bergen
3,5920,37023945,21116125,20129962,738281,247882,7511172,6030873,4097054,3615583,4128368,771848,35000,133004,63000,10.1,70572,56.9,99072,158.5,168433,18.5,1939,Wyckoff Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
5,200,2323853,1430149,1305866,40623,83660,322215,239458,297793,204318,251426,123018,0,22270,0,8.3,61302,58.9,52339,106,130000,14.6,143,Bass River Twp,Burlington,A. K-6,1,CD,,1,Burlington
5,380,5458148,3044130,2772330,142800,129000,1198295,991695,585788,475588,591301,164701,0,26948,4000,10.7,55874,76,68304,71.5,96663,7.6,298,Beverly City,Burlington,B. K-8 / 0 - 400,2,B,,1,Burlington
5,475,36883190,18817462,17785493,770520,261449,7259516,4934206,3734126,3116495,4919815,2863987,0,1132156,218500,12.9,65504,66.9,73372,164.9,123742,15.2,2520,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,Burlington
5,600,33530841,19064330,16568352,1076321,1419657,6446076,5555975,3360155,2704781,3677320,1565014,0,897478,0,9.6,66766,48,61554,110.1,111427,13.8,1693,Burlington City,Burlington,E. K-12 / 0 - 1800,3,B,1,1,Burlington
5,605,40923046,23715171,22636080,268191,810900,7611036,7065274,4107547,2898798,4289809,2122395,700000,345995,64450,4.3,66598,5.5,68260,33.1,96984,13.7,589,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,Burlington
