GROUP,CONAME,DIST,DISTNAME,EX121,EX221
F. K-12 / 1801 - 3500,Essex,1750,Glen Ridge Boro,1600000,1394588
F. K-12 / 1801 - 3500,Essex,5370,Verona Boro,912938,766598
F. K-12 / 1801 - 3500,Gloucester,1730,Glassboro,1547516,3877
F. K-12 / 1801 - 3500,Gloucester,5620,West Deptford Twp,2439463,2937388
F. K-12 / 1801 - 3500,Hudson,2060,Harrison Town,0,670034
F. K-12 / 1801 - 3500,Hudson,2210,Hoboken City,0,0
F. K-12 / 1801 - 3500,Hudson,4730,Secaucus Town,0,0
F. K-12 / 1801 - 3500,Mercer,1430,Ewing Twp,1637444,968566
F. K-12 / 1801 - 3500,Mercer,2280,Hopewell Valley Regional,641200,0
F. K-12 / 1801 - 3500,Mercer,5510,Robbinsville Twp,206255,0
F. K-12 / 1801 - 3500,Middlesex,3120,Metuchen Boro,1083756,800000
F. K-12 / 1801 - 3500,Middlesex,3140,Middlesex Boro,750000,0
F. K-12 / 1801 - 3500,Middlesex,4920,South River Boro,2300455,3682856
F. K-12 / 1801 - 3500,Monmouth,2105,Hazlet Twp,2600126,3489217
F. K-12 / 1801 - 3500,Monmouth,2230,Holmdel Twp,0,0
F. K-12 / 1801 - 3500,Monmouth,3510,Neptune Twp,4021558,6252897
F. K-12 / 1801 - 3500,Monmouth,3810,Ocean Twp,2384791,3821081
F. K-12 / 1801 - 3500,Monmouth,5310,Upper Freehold Regional,0,0
F. K-12 / 1801 - 3500,Monmouth,5420,Wall Twp,0,0
F. K-12 / 1801 - 3500,Morris,1110,Dover Town,2729094,0
F. K-12 / 1801 - 3500,Morris,2380,Jefferson Twp,2270285,1662911
F. K-12 / 1801 - 3500,Morris,2870,Madison Boro,500000,1034034
F. K-12 / 1801 - 3500,Morris,3340,Montville Twp,0,0
F. K-12 / 1801 - 3500,Morris,4080,Pequannock Twp,3000000,4101146
F. K-12 / 1801 - 3500,Morris,4560,Roxbury Twp,3400000,3400000
F. K-12 / 1801 - 3500,Ocean,2940,Manchester Twp,255041,419983
F. K-12 / 1801 - 3500,Ocean,4210,Point Pleasant Boro,0,0
F. K-12 / 1801 - 3500,Passaic,2100,Hawthorne Boro,87450,475232
