CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP22,TOTENR2A,PP22
Camden,Mastery Schools Of Camden,1802,19864.246841,0,3036.4627316,0,0,0,64412398,2812.6813187,22901
Camden,Haddon Heights Boro,1880,19032.032623,163.75458422,975.03198294,371.29445629,641.90533049,441.39836674,33807735.78,1563.3333333,21625
Camden,Haddon Twp,1890,20115.027384,91.242860346,1046.6479123,303.41838641,1218.1069107,708.07387821,48878598.91,2081.4888889,23483
Camden,Haddonfield Boro,1900,18661.821215,322.73098371,698.39120039,347.21808236,1338.6179874,328.55322882,58881257.15,2713.7555556,21697
Camden,Hi Nella,2130,23478.225,0,256.89166667,0,0,0,2848214,120,23735
Camden,Laurel Springs Boro,2540,17799.45168,203.65078808,820.04036929,183.3236213,638.37855864,0,6218030,316.52222222,19645
Camden,Lawnside Boro,2560,22784.505425,74.513249865,1885.3417665,772.24352216,603.58394719,675.05681791,12580737.5,469.51381215,26795
Camden,Lindenwold Boro,2670,17517.602583,4657.0707464,3610.3240481,756.46278746,413.74864327,188.97021613,82807238.94,3050.6444444,27144
Camden,Magnolia Boro,2890,21884.087436,1612.3048008,2230.502145,488.09969356,632.54341164,677.34638611,11227858.88,407.91666667,27525
Camden,Merchantville Boro,3110,19163.34394,206.61332848,1891.5501409,187.15155923,286.38967179,72.267933448,11992933.75,549.95,21807
Camden,Mount Ephraim Boro,3420,19851.855006,1256.1936256,2027.4021667,426.82439063,1052.8201908,409.20700632,14167647.82,566.15555556,25024
Camden,Oaklyn Boro,3770,18519.557268,216.18744102,3053.3817569,470.7118288,447.72186026,23.196262188,11179513.46,491.82320442,22731
Camden,Pennsauken Twp,4060,22221.624422,965.57105507,3782.557535,741.38696334,525.26984332,107.79914054,132308575.05,4667.9226519,28344
Camden,Pine Hill Boro,4110,22750.232063,1148.0875077,2112.6539308,651.57073686,0,95.363336561,50657178.69,1893.1666667,26758
Camden,Runnemede Boro,4590,20066.164104,1131.7975328,3247.3489506,516.67903449,0,276.20811347,20481919.16,811.54444444,25238
Camden,Somerdale Boro,4790,21710.868961,296.91927071,1996.57583,639.18734461,493.6398869,86.46739141,11498064.68,455.84444444,25224
Camden,Sterling High School Dist,5035,22169.4196,1313.6362905,1203.852896,581.29537835,281.60508125,400.33198569,23520577.18,906.37569061,25950
Camden,Stratford Boro,5080,20710.293448,455.09056762,1318.6294122,418.52383834,478.00233361,403.49843698,21176646.8,890.37222222,23784
Camden,Voorhees Twp,5400,22299.443413,2477.7742191,666.85728837,448.57401539,339.63897691,96.430681304,77546852.5,2945.3333333,26329
Camden,Waterford Twp,5560,19632.648659,1070.2496591,2544.339096,365.20022444,0,311.74032544,37425920.71,1564.3555556,23924
Camden,Winslow Twp,5820,23674.325548,1681.7820454,1669.8719024,664.47838484,0,65.084787622,132388387.42,4769.8,27756
Camden,Woodlynne Boro,5900,18820.20496,3050.9328656,3139.8571189,548.60419972,0,670.86907955,14788592.26,563.79444444,26230
Camden,Hope Community Cs,6086,18400.847811,9156.657401,4622.7102154,747.64419736,0,0,4738319,143.9,32928
Camden,Camden’s Promise Charter School,6107,18364.278119,321.8561324,3830.9398548,768.77768018,12.101613425,0,50395803,2163.1,23298
Camden,Environment Community Cs,6232,3197.8854105,0,0,0,0,0,541402,169.3,3198
Camden,Freedom Prep Charter School,6240,17265.339731,0,4821.2578375,1093.6174024,0,0,18115338,781.5,23180
Camden,Leap Academy University Cs,7109,14493.247769,648.46178715,3975.2987198,1092.1621622,0,0,31255503,1546.6,20209
Cape May,Avalon Boro,170,44273.108744,3954.2488789,2641.691704,1028.4719731,0,1479.3464462,5290240.67,99.111111111,53377
Cape May,Cape May City,710,24153.867637,3727.4831238,5090.4321641,372.11515553,0,128.68945731,5619675.53,167.88888889,33473
Cape May,Cape May Co Special Serv,715,62815.76354,2033.9146674,546.68438443,879.41675047,0,609.49510128,15519613.18,232.03333333,66885
Cape May,Cape May County Vocational School D,720,29729.813717,534.80261733,2359.9062207,502.63438296,0,336.71425088,19741334.77,589.92979798,33464
Cape May,Cape May Point,730,32438,0,0,0,0,0,64876,2,32438
