CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
5,1910,9309157,5375174,5012002,152641,210531,1648161,932278,1088946,907619,1106336,337974,0,87539,15000,Hainesport Twp,Burlington,C. K-8 / 401 - 750,22,FG,,1,530.7,Burlington,
5,2610,133563468,76541527,71022672,4250482,1268373,20533038,18741167,11397091,9597680,16024559,8424978,0,8409874,1558155,Lenape Regional,Burlington,H. 7-12 / 9-12,45,GH,,1,6524.5,Burlington,
5,2850,20385631,11421825,10620139,379138,422548,3935087,2955333,2122874,1758630,2769054,1066891,0,136791,385251,Lumberton Twp,Burlington,D. K-8 / 751 +,23,FG,,1,1197.1,Burlington,
5,2960,11627369,6511385,6053388,310997,147000,2434139,1879328,1286048,1075347,1390920,701056,0,1262,11770,Mansfield Twp,Burlington,A. K-6,1,DE,,1,547.4,Burlington,
5,3010,42450724,26275925,24613497,551361,1111067,6668034,5313255,4019093,3407024,4133900,2118672,0,1020450,60472,Maple Shade Twp,Burlington,F. K-12 / 1801 - 3500,32,CD,,1,2466.9,Burlington,
5,3070,7965291,4904138,4588361,137350,178427,1291146,1077338,961527,756239,712819,369817,0,95662,72147,Medford Lakes Boro,Burlington,C. K-8 / 401 - 750,22,I,,1,486.5,Burlington,
5,3080,48906595,31067367,24436091,816432,5814844,6823182,6447504,5417093,4349047,5005701,2537006,0,101112,590465,Medford Twp,Burlington,D. K-8 / 751 +,23,I,,1,2671.9,Burlington,
5,3360,71857252,43387977,41407224,923513,1057240,13473043,11876453,5910696,4977389,6750100,2628522,0,1935859,63752,Moorestown Twp,Burlington,G. K-12 / 3501 +,33,I,,1,3878.5,Burlington,
5,3430,20056086,11211968,9932171,243319,1036478,3799149,2782550,2223408,1872816,2584773,1343172,0,236788,205224,Mount Holly Twp,Burlington,D. K-8 / 751 +,23,B,,1,1101,Burlington,
5,3440,69133727,45096944,43099530,1081944,915470,10254557,8052200,6216241,4916924,6431755,4121439,0,521804,218619,Mount Laurel Twp,Burlington,D. K-8 / 751 +,23,I,,1,4172.2,Burlington,
5,3540,3275695,1867987,1780983,66872,20132,565488,457056,326258,266109,478449,209797,0,31052,0,New Hanover Twp,Burlington,B. K-8 / 0 - 400,21,B,,1,178.6,Burlington,
5,3650,25044719,16472467,15447601,437946,586920,4893535,4035160,1608631,1256757,2006798,896131,0,50753,640529,North Hanover Twp,Burlington,A. K-6,1,CD,,1,1401.9,Burlington,
5,3690,35393555,19233005,17345054,718769,1169182,6471990,4901314,3596326,3015107,4459581,2636597,0,1551194,197279,Northern Burlington Reg,Burlington,H. 7-12 / 9-12,45,DE,,1,2107.1,Burlington,
5,3920,16835738,9076971,8338041,205790,533140,2687867,2066022,1718542,1512884,2600850,926601,0,730609,60805,Palmyra Boro,Burlington,E. K-12 / 0 - 1800,31,DE,,1,976.5,Burlington,
5,4050,87776198,50026598,48583810,875760,567028,16923768,13727345,7836306,6555460,10715509,5414810,0,1202128,631731,Pemberton Twp,Burlington,G. K-12 / 3501 +,33,B,1,1,4303.6,Burlington,
5,4320,31865187,17502549,16165496,731626,605427,4158649,3562950,3938329,3040430,4461429,2421226,0,1802131,67028,Rancocas Valley Regional,Burlington,H. 7-12 / 9-12,45,DE,,1,1970.4,Burlington,
5,4450,23660640,14383936,13715407,292361,376168,3143172,2461365,2700804,2377512,2578093,1426191,0,854636,219776,Riverside Twp,Burlington,E. K-12 / 0 - 1800,31,B,,1,1542.1,Burlington,
5,4460,4762084,2957971,2809665,138985,9321,657950,537109,582732,475067,481335,176040,0,82096,27573,Riverton,Burlington,B. K-8 / 0 - 400,21,GH,,1,273.7,Burlington,
5,4740,12395408,7037148,6554656,151751,330741,2022291,1834854,1499549,1344231,1666106,1013689,0,154231,26920,Shamong Twp,Burlington,C. K-8 / 401 - 750,22,GH,,1,703.3,Burlington,
